edizione,allegato,rigo,sezione,voce,capitolo_bilancio,cumulato_al_2021_pm,2022,2023,2024,2025,2026,totale_2022_2026,oltre_2026,totale_complessivo,pagina
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5h,fonti residuo contratti precedenti,Legge 190/14 del 23.12.2014 (Legge di Stabilità 2015) - PG5,7122,4198.35,51.65,,,,,51.65,,4250.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5i,fonti residuo contratti precedenti,Legge 208/2015 - Legge di Stabilità 2016 - PG2,7122,0.0,222.03,,,,,222.03,,222.03,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5l,fonti residuo contratti precedenti,Piano Operativo Nazionale 2007-2013 (PON 07-13),,7.5,19.03,,,,,19.03,,26.53,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5m,fonti residuo contratti precedenti,Legge 178/2020 - Legge di Bilancio 2021 (Cap 7122/PG5),7122,0.0,52.0,50.0,50.0,50.0,50.0,252.0,500.0,752.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5,fonti residuo contratti precedenti,Totale Fonti c/Impianti,,6338.18,344.71,50.0,50.0,50.0,50.0,544.71,500.0,7382.89,35
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,1a,conto esercizio,Legge 234/2021 - Legge di Bilancio 2022 e Leggi di Bilancio seguenti,1541,,1155.56,1055.56,965.56,965.56,965.56,5107.78,,5107.78,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,1b,conto esercizio,Legge 178/2020 - Legge di Bilancio 2021 e Leggi di Bilancio seguenti (risorse per servizio navigazione ME-RC),7255,,7.1,4.26,,,,11.37,,11.37,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,1,conto esercizio,Totale Fonti c/Esercizio,,,1162.66,1059.82,965.56,965.56,965.56,5119.15,0.0,5119.15,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,2a,conto impianti,Legge 234/2021 - Legge di Bilancio 2022 (Cap 7122/PG5) (*),7122,,500.0,1000.0,1100.0,900.0,1000.0,4500.0,600.0,5100.0,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,2b,conto impianti,Legge 197/2022 - Legge di Bilancio 2023 (Cap 7122/PG5) (*),7122,,,0.0,200.0,200.0,200.0,600.0,2200.0,2800.0,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,2,conto impianti,Totale Fonti c/Impianti (*),,,500.0,1000.0,1300.0,1100.0,1200.0,5100.0,2800.0,7900.0,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,3,totale fonti,Totale fonti,,,1662.66,2059.82,2265.56,2065.56,2165.56,10219.15,2800.0,13019.15,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,4,spesa residuo contratti precedenti,Manutenzione Straordinaria (Residuo CdP-S 2016-2021 e CdP 2012-2014),,7024.51,180.12,85.0,93.26,,,358.38,,7382.89,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,5a,fonti residuo contratti precedenti,Delibera CIPE n. 33 del 23.03.2012 (valore iniziale 300 mln€),7514,271.44,,,,,,0.0,,271.44,14
CdP-S 2022-2026 - primo atto integrativo (agg. 2023),4b fonti per cassa,5b,fonti residuo contratti precedenti,"Art. 1, c. 175, della l. n. 228/2012 (Legge di Stabilità 2013)",7122,300.0,,,,,,0.0,,300.0,14
