documento,pagina,riga,sezione,capitolo,piano_gestionale,voce,anno,importo_mln
cdp2017,29,16,fonti,7515,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC Treviglio-Brescia,2021,62.0
cdp2017,29,17,fonti,7518,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC 3^ Valico dei Giovi,2017,150.62
cdp2017,29,17,fonti,7518,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC 3^ Valico dei Giovi,2018,120.0
cdp2017,29,17,fonti,7518,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC 3^ Valico dei Giovi,2019,120.0
cdp2017,29,17,fonti,7518,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC 3^ Valico dei Giovi,2020,67.0
cdp2017,29,17,fonti,7518,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC 3^ Valico dei Giovi,2021,150.0
cdp2017,29,18,fonti,7536,,Decreto Legge 133/2014 - Sblocca Italia,2017,
cdp2017,29,18,fonti,7536,,Decreto Legge 133/2014 - Sblocca Italia,2018,410.0
cdp2017,29,18,fonti,7536,,Decreto Legge 133/2014 - Sblocca Italia,2019,50.0
cdp2017,29,18,fonti,7536,,Decreto Legge 133/2014 - Sblocca Italia,2020,50.0
cdp2017,29,18,fonti,7536,,Decreto Legge 133/2014 - Sblocca Italia,2021,65.0
cdp2017,29,19,fonti,7549,,"Decreto Legge 133/2014 - Sblocca Italia, Soppr. Passaggi a livello",2017,9.0
cdp2017,29,19,fonti,7549,,"Decreto Legge 133/2014 - Sblocca Italia, Soppr. Passaggi a livello",2018,21.0
cdp2017,29,19,fonti,7549,,"Decreto Legge 133/2014 - Sblocca Italia, Soppr. Passaggi a livello",2019,15.0
cdp2017,29,19,fonti,7549,,"Decreto Legge 133/2014 - Sblocca Italia, Soppr. Passaggi a livello",2020,15.0
cdp2017,29,19,fonti,7549,,"Decreto Legge 133/2014 - Sblocca Italia, Soppr. Passaggi a livello",2021,
cdp2017,29,20,fonti,7540,,Decreto Legge 69/2013 - Legge stabilità 2014 -Interventi di miglioramento rete ferroviaria,2017,78.16
cdp2017,29,20,fonti,7540,,Decreto Legge 69/2013 - Legge stabilità 2014 -Interventi di miglioramento rete ferroviaria,2018,70.0
cdp2017,29,20,fonti,7540,,Decreto Legge 69/2013 - Legge stabilità 2014 -Interventi di miglioramento rete ferroviaria,2019,82.0
cdp2017,29,20,fonti,7540,,Decreto Legge 69/2013 - Legge stabilità 2014 -Interventi di miglioramento rete ferroviaria,2020,38.0
cdp2017,29,20,fonti,7540,,Decreto Legge 69/2013 - Legge stabilità 2014 -Interventi di miglioramento rete ferroviaria,2021,67.0
cdp2017,29,21,fonti,7563,,Contributo quindicennale per lavori sulla tratta Andora-Finale Ligure,2017,
cdp2017,29,21,fonti,7563,,Contributo quindicennale per lavori sulla tratta Andora-Finale Ligure,2018,
cdp2017,29,21,fonti,7563,,Contributo quindicennale per lavori sulla tratta Andora-Finale Ligure,2019,
cdp2017,29,21,fonti,7563,,Contributo quindicennale per lavori sulla tratta Andora-Finale Ligure,2020,15.0
cdp2017,29,21,fonti,7563,,Contributo quindicennale per lavori sulla tratta Andora-Finale Ligure,2021,15.0
cdp2017,29,22,fonti,1274,,Contributi Legge 190/2014 (art. 1 comma 294),2017,
cdp2017,29,22,fonti,1274,,Contributi Legge 190/2014 (art. 1 comma 294),2018,6.0
cdp2017,29,22,fonti,1274,,Contributi Legge 190/2014 (art. 1 comma 294),2019,10.0
cdp2017,29,22,fonti,1274,,Contributi Legge 190/2014 (art. 1 comma 294),2020,15.0
cdp2017,29,22,fonti,1274,,Contributi Legge 190/2014 (art. 1 comma 294),2021,18.0
cdp2017,29,23,fonti,,,RISORSE UE (24+25),2017,490.0
cdp2017,29,23,fonti,,,RISORSE UE (24+25),2018,300.68
cdp2017,29,23,fonti,,,RISORSE UE (24+25),2019,290.0
cdp2017,29,23,fonti,,,RISORSE UE (24+25),2020,200.0
cdp2017,29,23,fonti,,,RISORSE UE (24+25),2021,206.0
cdp2017,29,24,fonti,,,RISORSE PON- FESR,2017,452.0
cdp2017,29,24,fonti,,,RISORSE PON- FESR,2018,170.68
cdp2017,29,24,fonti,,,RISORSE PON- FESR,2019,165.0
cdp2017,29,24,fonti,,,RISORSE PON- FESR,2020,100.0
cdp2017,29,24,fonti,,,RISORSE PON- FESR,2021,106.0
cdp2017,29,25,fonti,,,RISORSE TEN-T (subordinati al reperimento della corrispondente quota nazionale),2017,38.0
cdp2017,29,25,fonti,,,RISORSE TEN-T (subordinati al reperimento della corrispondente quota nazionale),2018,130.0
cdp2017,29,25,fonti,,,RISORSE TEN-T (subordinati al reperimento della corrispondente quota nazionale),2019,125.0
cdp2017,29,25,fonti,,,RISORSE TEN-T (subordinati al reperimento della corrispondente quota nazionale),2020,100.0
cdp2017,29,25,fonti,,,RISORSE TEN-T (subordinati al reperimento della corrispondente quota nazionale),2021,100.0
cdp2017,29,26,fonti,,,RISORSE DA EE.LL. e ALTRO (27+28),2017,556.96
cdp2017,29,26,fonti,,,RISORSE DA EE.LL. e ALTRO (27+28),2018,391.65
cdp2017,29,26,fonti,,,RISORSE DA EE.LL. e ALTRO (27+28),2019,416.53
cdp2017,29,26,fonti,,,RISORSE DA EE.LL. e ALTRO (27+28),2020,340.5
cdp2017,29,26,fonti,,,RISORSE DA EE.LL. e ALTRO (27+28),2021,333.43
cdp2017,29,27,fonti,,,"RISORSE da altre Fonti (altre operazioni finanziarie, Terzi)",2017,368.51
cdp2017,29,27,fonti,,,"RISORSE da altre Fonti (altre operazioni finanziarie, Terzi)",2018,139.65
cdp2017,29,27,fonti,,,"RISORSE da altre Fonti (altre operazioni finanziarie, Terzi)",2019,100.73
cdp2017,29,27,fonti,,,"RISORSE da altre Fonti (altre operazioni finanziarie, Terzi)",2020,87.5
cdp2017,29,27,fonti,,,"RISORSE da altre Fonti (altre operazioni finanziarie, Terzi)",2021,20.43
cdp2017,29,28,fonti,,,RISORSE da altre fonti finanziarie AV/AC,2017,188.45
cdp2017,29,28,fonti,,,RISORSE da altre fonti finanziarie AV/AC,2018,252.0
cdp2017,29,28,fonti,,,RISORSE da altre fonti finanziarie AV/AC,2019,315.8
cdp2017,29,28,fonti,,,RISORSE da altre fonti finanziarie AV/AC,2020,253.0
cdp2017,29,28,fonti,,,RISORSE da altre fonti finanziarie AV/AC,2021,313.0
cdp2017,29,29,fonti,,,TOTALE FONTI CdP-I (6+23+26),2017,3276.2
cdp2017,29,29,fonti,,,TOTALE FONTI CdP-I (6+23+26),2018,4754.97
cdp2017,29,29,fonti,,,TOTALE FONTI CdP-I (6+23+26),2019,4450.0
cdp2017,29,29,fonti,,,TOTALE FONTI CdP-I (6+23+26),2020,4750.0
cdp2017,29,29,fonti,,,TOTALE FONTI CdP-I (6+23+26),2021,5000.0
cdp2017,29,30,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: Rete Tradizionale,2017,100.0
cdp2017,29,30,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: Rete Tradizionale,2018,100.0
cdp2017,29,30,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: Rete Tradizionale,2019,100.0
cdp2017,29,30,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: Rete Tradizionale,2020,100.0
cdp2017,29,30,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: Rete Tradizionale,2021,100.0
cdp2017,29,31,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: AV/AC TO-MI-NA,2017,500.0
cdp2017,29,31,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: AV/AC TO-MI-NA,2018,500.0
cdp2017,29,31,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: AV/AC TO-MI-NA,2019,500.0
cdp2017,29,31,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: AV/AC TO-MI-NA,2020,500.0
cdp2017,29,31,fonti,,,Impieghi per rimborso finanz. attivato con attualizz. contrib. quindicennali: AV/AC TO-MI-NA,2021,400.0
cdp2017,29,32,fonti,7124,,Contributi per la prosecuzione degli interventi relativi alla Rete Tradizionale,2017,100.0
cdp2017,29,32,fonti,7124,,Contributi per la prosecuzione degli interventi relativi alla Rete Tradizionale,2018,100.0
cdp2017,29,32,fonti,7124,,Contributi per la prosecuzione degli interventi relativi alla Rete Tradizionale,2019,100.0
cdp2017,29,32,fonti,7124,,Contributi per la prosecuzione degli interventi relativi alla Rete Tradizionale,2020,100.0
cdp2017,29,32,fonti,7124,,Contributi per la prosecuzione degli interventi relativi alla Rete Tradizionale,2021,100.0
cdp2017,29,33,fonti,7124,,Contributi per la prosecuzione degli interventi per il Sistema AV/AC TO-MI-NA,2017,500.0
cdp2017,29,33,fonti,7124,,Contributi per la prosecuzione degli interventi per il Sistema AV/AC TO-MI-NA,2018,500.0
cdp2017,29,33,fonti,7124,,Contributi per la prosecuzione degli interventi per il Sistema AV/AC TO-MI-NA,2019,500.0
