cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J31J05000010001,A/B,0294,Potenziamento linea Gallarate-Rho Quadruplicamento Rho-Parabiago e raccordo a Y per Malpensa Quadruplicamento Rho-Parabiago e raccordo a Y per Malpens,Direttrici di interesse nazionale,1023.67,agg2025,70
J31J05000020001,A/B,0295,Potenziamento collegamenti ferroviari da nord con aeroporto Malpensa,"Aeroporti, accessibilità su ferro",0.0,cdp2022,78
J31J05000030001,A/B,0296,Raddoppio Orte-Falconara: tratta Foligno-Fabriano Raddoppio Foligno-Fabriano,Direttrici di interesse nazionale,1918.5,agg2025,78
J31J05000030011,A/B,0297A,Nodo di Falconara 1^ fase Variante Falconara e bretella di collegamento tra la linea Orte- Falconara direzione nord e la variante di Falconara verso n,Direttrici di interesse nazionale,174.82,agg2025,61
J31J05000030011,A/B,0297B,Nodo di Falconara completamento Nuova stazione Osimo ITER,Direttrici di interesse nazionale,123.29,agg2025,71
J31J05000040001,C,,Efficientamento linea Codogno-Cremona-Mantova e raddoppio tratta Cremona-Cava Tigozzi,,38.29,cdp2017,180
J34C20002410009,C,,Sviluppo infrastrutturale e upgrading,,0.18,agg2025,138
J34F05000010001,A/B,0312,Ammodernamento Venafro - Termoli,Valorizzazione reti regionali,0.0,agg2021,62
J34G18000150001,A/B,I172,Variante di Riga PRG Bressanone e altre opere propedeutiche Variante di Riga e fermata di Sciaves Fermata di Varna PROG PROG,Valorizzazione reti regionali,251.23,agg2025,50
J34H14000490001,C,,PRG di Ostiense - 2014,,1.38,agg2021,127
J34H15001050001,A/B,A5000_4,"Adeguamenti tecnologici, opere di completamento e contingencies rete AV Torino-Milano-Napoli",Direttrici di interesse nazionale,0.0,cdp2022,62
J34H16000060001,A/B,I048,Porto di Genova Potenziamento scalo Campasso,,25.8,cdp2017,57
J34H16000060001,A/B,P234,Nodo di Genova e Terzo valico dei Giovi Potenziamento infrastrutturale Voltri-Brignole Porto di Genova: Nuovo terminal merci i Genova Campasso Potenzi,Direttrici di interesse nazionale,10623.31,agg2025,63
J34H16000360001,C,,Upgrading prestazionale linee Adriatica-Ionica - DOIT Bari,,10.5,agg2024,113
J34H16000620009,A/B,0365,"Potenziamento Venezia-Trieste Velocizzazione linea storica e varianti Opere civili, soppressione PL e adeguamento a modulo 750m SF° Variante Latisana ",,1800.0,cdp2017,83
J34H16000620009,A/B,0365A,"Potenziamento Venezia-Trieste lotti prioritari Potenziamento tecnologico Venezia-Trieste, rimozione limitazione massa assiale D4 e altri interventi in",Direttrici di interesse nazionale,250.68,agg2025,62
J34H16000620009,A/B,0365B,"Potenziamento Venezia-Trieste completamento Varianti Portugruaro, Latisana e Isonzo PROG ITER Variante Ronchi-Aurisina",Direttrici di interesse nazionale,1580.9,agg2025,79
J34H16000620009,A/B,0366,Potenziamento linea Ponte S.Pietro-Bergamo- Montello,,70.0,cdp2017,45
J34H17000130001,A/B,P234,Nodo di Genova e Terzo valico dei Giovi Potenziamento infrastrutturale Voltri-Brignole Porto di Genova: Nuovo terminal merci i Genova Campasso Potenzi,Direttrici di interesse nazionale,10623.31,agg2025,63
J34H17000140001,A/B,A5000_4,"Adeguamenti tecnologici, opere di completamento e contingencies rete AV Torino-Milano-Napoli",Direttrici di interesse nazionale,0.0,cdp2022,62
J34H17000230001,A/B,0270,Sistemazione nodo di Catania Interramento stazione Catania c.le completamento del doppio PROG PROG binario tra Catania C.le e Catania Acquicella Inter,Direttrici di interesse nazionale,1607.82,agg2025,70
J34H17000230001,A/B,I139,Collegamento ferroviario aeroporto di Catania Fontanarossa,"Aeroporti, accessibilità su ferro",0.0,agg2024,48
J34J23000040001,A/B,P233,Potenziamento Carnate - Ponte S.Pietro 1^ fase Variante ponte ferroviario Paderno d'Adda PROG PROG,Valorizzazione reti regionali,674.0,agg2025,66
J37B13000340001,C,,Sicurezza ed Obblighi di Legge,,0.34,agg2025,136
J37B14000210005,C,,Sviluppo infrastrutturale e upgrading,,5.1,agg2025,138
J37B14000260001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,3.5,agg2025,141
J37B16000110001,C,,Sicurezza ed Obblighi di Legge,,16.5,agg2025,136
J37B16000120001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,4.85,agg2025,141
J37B16000310001,C,,Sviluppo infrastrutturale e upgrading,,1.24,agg2025,138
J37B16000470001,C,,Sicurezza ed Obblighi di Legge,,2.0,agg2025,136
J37B16000540001,C,,Sicurezza ed Obblighi di Legge,,21.6,agg2025,136
J37B17000040001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,3.94,agg2025,141
J37B17000050001,C,,Sicurezza ed Obblighi di Legge,,19.4,agg2025,136
J37B17000200001,C,,Sviluppo infrastrutturale e upgrading,,1.9,agg2025,138
J37E13000300001,A/B,P067,Velocizzazione linee Milano-Venezia e Venezia- Trieste,Direttrici di interesse nazionale,0.0,cdp2022,61
J37E13000330001,A/B,P067,Velocizzazione linee Milano-Venezia e Venezia- Trieste,Direttrici di interesse nazionale,0.0,cdp2022,61
J37F20000000001,C,,Sicurezza ed Obblighi di Legge,,46.0,agg2025,136
J37F20000060001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,5.0,agg2025,141
J37G20000510001,C,,Sicurezza ed Obblighi di Legge,,25.25,agg2025,136
J37H21001140001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,2.7,agg2025,141
J37H21005980001,A/B,P259,Linea Bari-Bitritto: upgrading infrastrutturale Linea Bari-Bitritto: upgrading infrastrutturale,Valorizzazione reti regionali,30.11,agg2025,53
J37H21006380001,C,,Sicurezza ed Obblighi di Legge,,1.01,agg2025,136
J37I05000010001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J37I05000030001,C,,Upgrading rete merci - DOIT Verona,,18.5,agg2024,113
J37I06000050001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J37I06000060001,C,,Interv.Riqualif.staz.connessi AV-Milano,,0.29,cdp2017,180
J37I06000070001,A/B,1483,Nodo di interscambio di Pigneto Fermata Pigneto su linea FL1/FL3 e copertura parziale vallo Fermata Pigneto su linea FL4/6 e sistemazioni viarie PROG ,Città metropolitane,230.36,agg2025,68
J37I06000080001,C,,Interventi di riqualificazione stazioni: Fiera di Roma e Roma Val d'Ala,,0.73,cdp2017,180
J37I06000090001,C,,Efficentamento Rho e Pavia,,45.7,cdp2022,139
J37I06000180001,C,,Riconfigurazione impianti SCMT Venezia,,16.52,cdp2022,138
J37I08000000001,C,,Piano di sviluppo tecnologico della rete,,1.9,cdp2017,181
J37I08000020001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J37I08000030001,C,,Man. Straord. Opere a difesa dell'infr l,,0.4,cdp2017,177
J37I08000040001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J37I08000050001,C,,Miglior. Infr. linee AV/AC - MI,,0.1,cdp2017,177
J37I10001070001,C,,Man.Straord.e Opere di Difesa dell'Infra,,0.39,cdp2017,177
J37I11000040001,C,,Tecnologie nodo di Modena/Marzaglia,,22.0,cdp2022,138
J37I12000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J37I12000060001,C,,Manut.Straord.Opere Dif.Infr.TS - 2012,,-0.01,agg2021,126
J37I12000070001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.01,agg2025,132
J37I12000080001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J37I12000090001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J37I12000100001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J37I12000110001,A/B,1659,Potenziamento collegamento Lamezia Terme - Catanzaro Lido - Dorsale jonica,Direttrici di interesse nazionale,0.0,agg2021,47
J37I12000110001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J37I12000140001,A/B,P072,Upgrading e potenziamento tecnologico itinerario Napoli-Bari-Lecce/Taranto,Direttrici di interesse nazionale,499.89,cdp2022,45
J37I12000150006,A/B,P174,Scalo merci Bari Lamasinata Nuova stazione di Bari Lamasinata/Ferruccio fasi PROG PROG,"Porti e interporti, ultimo miglio",245.0,agg2025,75
J37I12000160006,A/B,P174,Scalo merci Bari Lamasinata Nuova stazione di Bari Lamasinata/Ferruccio fasi PROG PROG,"Porti e interporti, ultimo miglio",245.0,agg2025,75
J37I13000020001,C,,Aumento Produttività TS - 2013,,-0.09,agg2021,126
J37I18000060001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,2.5,agg2025,141
J37J19000000001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,3.5,agg2025,141
J37J19000010001,C,,Sicurezza ed Obblighi di Legge,,23.0,agg2025,136
J39B12000040001,A/B,P072,Upgrading e potenziamento tecnologico itinerario Napoli-Bari-Lecce/Taranto,Direttrici di interesse nazionale,499.89,cdp2022,45
J41C07000000001,A/B,0325,Linea AV/AC Milano-Verona: tratta Treviglio-Brescia,Direttrici di interesse nazionale,,agg2025,126
J41C09000000005,A/B,0337,Accesso al Brennero lotto 3 - Circonvallazione di,Direttrici di interesse nazionale,1555.0,agg2021,55
J41C09000000005,A/B,0337A,Accesso al Brennero lotto 3a - Circonvallazione di Trento Circonvallazione di Trento (lotto 3a) e progettazione preliminare lotti 3a e 3b,Direttrici di interesse nazionale,1433.39,agg2025,62
J41C09000000005,A/B,0337B,Accesso al Brennero lotto 3b - Circonvallazione di Rovereto Circonvallazione di Rovereto,Direttrici di interesse nazionale,2438.13,agg2025,79
J41C10000030001,A/B,0339,"Nodo di Livorno: potenziamento dei collegamenti ferroviari tra porto di Livorno, rete ferroviaria e interporto di Guasticce","Porti e interporti, ultimo miglio",0.0,cdp2022,57
J41E91000000009,A/B,0362A,Linea AV/AC Verona-Padova 1° lotto funzionale: Tratta Verona-bivio Vicenza,Direttrici di interesse nazionale,,agg2025,126
J41E91000000009,A/B,0362B,Linea AV/AC Verona-Padova 2° lotto funzionale: Attraversamento di Vicenza,Direttrici di interesse nazionale,,agg2025,126
J41G23000070001,A/B,P262A,Velocizzazione e potenziamento linea ferroviaria Adriatica 1^ fase,Direttrici di interesse nazionale,6074.52,agg2025,72
J41H00000230001,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,140
J41H00000240001,C,,Manutenzione Straordinaria settore Armamento lotto B - Torino,,0.16,cdp2017,177
J41H00000240011,C,,Manutenzione Straordinaria settore Armamento lotto A - Firenze,,0.15,cdp2017,177
J41H00000240021,C,,Manutenzione straordinaria - Armamento lotto C - Ancona,,0.07,cdp2017,177
J41H00000250001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J41H00000250011,C,,Manten. Straor. Bacino Logis. Centro - ante 2011,,0.05,agg2021,126
J41H00000250021,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,132
J41H01000080008,A/B,0279A,Itinerario Napoli-Bari: Raddoppio e velocizzazione tratta Cancello-Frasso Telesino Nuovo collegamento Cancello-Frasso Telesino e progettazione prelimi,Direttrici di interesse nazionale,767.21,agg2025,61
J41H01000080008,A/B,0279B,Itinerario Napoli-Bari: Raddoppio e velocizzazione tratta Frasso Telesino-Vitulano (Benevento) Raddoppio Frasso Telesino-Telese Raddoppio Telese-S.Lor,Direttrici di interesse nazionale,1178.09,agg2025,61
J41H01000090001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J41H02000070011,C,,Manten in effic imp manut rotab -Napoli - ante 2011,,0.08,agg2021,129
J41H02000070061,C,,Manten in effic imp manut rotab -ReggioC - ante 2011,,-0.05,agg2023,37
J41H02000070121,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J41H02000070141,C,,Manten in effic imp manut rotab -Trieste - ante 2011,,0.22,agg2021,129
J41H02000070171,C,,Manten in effic imp manut rotab -Venezia - ante 2011,,0.02,agg2021,129
J41H02000070221,C,,Manten in effic imp manut rotab -Milano - ante 2011,,0.03,agg2021,129
J41H02000080001,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Torino,,130.79,agg2021,127
J41H02000080011,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Napoli,,109.46,agg2021,127
J41H02000080021,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Roma,,155.55,agg2021,127
J41H02000080031,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Ancona,,88.64,agg2021,127
J41H02000080041,C,,Sicurezza ed Obblighi di Legge,,236.76,agg2025,136
J41H02000080051,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Bari,,71.38,agg2021,127
J41H02000080071,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Bologna,,104.36,agg2021,127
J41H02000080081,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Verona,,82.69,agg2021,127
J41H02000080091,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Trieste,,54.61,agg2021,127
J41H02000080141,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Venezia,,70.04,agg2021,127
J41H02000080151,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Genova,,86.1,agg2021,127
J41H02000080171,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Palermo,,35.0,agg2021,127
J41H02000080181,C,,Sistema di Controllo Marcia Treno (SCMT)-Automac Train Control (ATC): certificazione di conformità,,3.0,agg2021,128
J41H03000080011,C,,Studi di fattibilità e progettazioni,,-0.0,agg2025,140
J41H92000000008,A/B,0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,Direttrici di interesse nazionale,263.4,agg2025,59
J41H92000000008,A/B,0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,Direttrici di interesse nazionale,579.26,agg2025,59
J41H92000000008,A/B,0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,Direttrici di interesse nazionale,19.95,agg2025,59
J44C14000020002,A/B,P129,Collegamento ferroviario aeroporto di Genova Fermate di Erzelli/Aeroporto e Cornigliano est ACC e PRG Sestri Ponente PROG PROG,"Aeroporti, accessibilità su ferro",101.1,agg2025,58
J44C20000000001,A/B,I174,Nuova stazione Taranto Nasisi Nuova stazione Taranto Nasisi,Valorizzazione reti regionali,34.12,agg2025,51
J44D20000050009,A/B,P252,Adeguamento e potenziamento impianto di Vado Ligure zona industriale Adeguamento e potenziamento impianto di Vado Ligure zona industriale Fase 1 Adegu,"Porti e interporti, ultimo miglio",96.27,agg2025,56
J44D20000060009,A/B,I175,Raddoppio PM 228-Albacina,Direttrici di interesse nazionale,149.05,agg2025,71
J44E21002660001,A/B,P258,Linea Rosarno-S. Ferdinando: adeguamento PRG impianti di Rosarno e San Ferdinando Adeguamento PRG impianti di Rosarno e San Ferdinando,"Porti e interporti, ultimo miglio",85.0,agg2025,57
J44G19000010001,A/B,I177,Completamento metropolitana di Salerno: tratta stadio Arechi-Pontecagnano Aeroporto Completamento metropolitana di Salerno: tratta stadio Arechi- Pont,Valorizzazione reti regionali,314.75,agg2025,51
J44H14000090005,A/B,A5000_2,Upgrade tecnologico linea DD Firenze-Roma 1^ fase,Direttrici di interesse nazionale,0.0,cdp2022,61
J44H17000110001,A/B,P090,Upgrade tecnologico linea DD Firenze-Roma,Direttrici di interesse nazionale,0.0,cdp2022,61
J44H17000670001,A/B,I162,Ripristino linea Palermo-Trapani via Milo Ripristino linea Palermo-Trapani via Milo,Valorizzazione reti regionali,237.0,agg2025,50
J44H20001410001,A/B,P123,Elettrificazione Ivrea-Aosta e adeguamento linea Chivasso - Aosta Elettrificazione Ivrea-Aosta e Velocizzazione impianti e soppressione PL linea Chiva,Valorizzazione reti regionali,171.86,agg2025,51
J47B14000020005,C,,Sviluppo infrastrutturale e upgrading,,1.75,agg2025,138
J47D17000000001,C,,Sicurezza ed Obblighi di Legge,,26.0,agg2025,136
J47F19000190001,C,,Sviluppo infrastrutturale e upgrading,,2.5,agg2025,138
J47I04000000008,C,,Adeguamento a standard AV/AC linea DD.ma Firenze-Roma,,0.0,agg2024,114
J47I06000120001,C,,Riconfig Impianti SCMT Palermo,,16.85,agg2024,113
J47I06000130001,C,,Riconfigurazione impianti SCMT Verona,,20.92,cdp2022,138
J47I06000140001,A/B,1524,"Interventi di ammodernamento e velocizzazione della tratta ferroviaria Oristano-Sassari-Olbia Soppressione passaggi a livello a nord di Oristano, isti",Direttrici di interesse nazionale,19.63,agg2025,62
J47I06000160001,C,,Riconfigurazione impianti SCMT Bologna e Milano,,48.54,cdp2022,138
J47I07000020001,C,,SCC Messina-Siracusa,,56.45,cdp2022,138
J47I08000030001,C,,Man. Straord. Opere a difesa dell'infr,,6.72,cdp2017,177
J47I09000020002,A/B,1596,Velocizzazione impianti ferroviari rete sarda Velocizzazione impianti ferroviari rete sarda,Direttrici di interesse nazionale,19.2,cdp2022,67
J47I09000030009,A/B,0335,Quadruplicamento Pavia-Milano Rogoredo Quadruplicamento Rogoredo-Pieve Emanuele Quadruplicamento Pieve Emanuele-Pavia PROG PROG,Direttrici di interesse nazionale,987.46,agg2025,71
J47I09000040009,A/B,0334,"Potenziamento Foligno-Perugia-Terontola 1° stralcio Consolidamento sede tratta Foligno-Assisi, velocizzazione tratta Perugia Ponte San Giovanni - Foli",Valorizzazione reti regionali,135.95,agg2025,65
J47I10000180001,C,,Interventi di completamento tratta AV/AC Bologna-Firenze,,3.5,agg2021,129
J47I12000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.02,agg2025,132
J47I12000030001,C,,Manut.Straord.Opere Dif.Infr.M.E.AN - 2012,,-0.01,agg2021,126
J47I12000040001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J47I12000050001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.1,agg2025,132
J47I12000070001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J47I12000080001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J47I12000100001,A/B,1669,Asse Salerno-Reggio Calabria: stazione di Reggio Calabria - abbassamento piano binari ed intubamento tratto urbano,Città metropolitane,0.0,agg2021,63
J47I13000010001,C,,Aumento Produttività M.E.AN - 2013,,0.01,agg2021,126
J47J18000160001,C,,Upgrading Roma - Firenze (DD e LL),,24.58,cdp2022,138
J49B07000000001,C,,Studi di Fattibilità: Potenziamento Nodo di Roma,,0.01,cdp2017,181
J50B18000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.5,agg2025,132
J50C18000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.5,agg2025,132
J50C18000040001,C,,Sicurezza ed Obblighi di Legge,,1.5,agg2025,136
J50D13000010001,C,,Sicurezza ed Obblighi di Legge,,2.5,agg2025,136
J50D15000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.3,agg2025,132
J50D16000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.6,agg2025,132
J50D16000030001,C,,Sicurezza ed Obblighi di Legge,,1.0,agg2025,136
J50D17000040001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.25,agg2025,132
J50F22000000001,C,,Sicurezza ed Obblighi di Legge,,2.6,agg2025,136
J50F23000010001,C,,Manutenzione Straordinaria cicli fino al 2011,,3.0,agg2025,132
J50F23000020001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.5,agg2025,132
J50H19000000001,C,,Acquisti a rimpiazzo - Laboratori - 2019,,0.2,agg2021,126
J50H19000010001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.5,agg2025,132
J50H19000050001,C,,Sicurezza ed Obblighi di Legge,,1.0,agg2025,136
J50H20000000001,C,,"Acq. mat.inv. O.L. prod.sett.""Off.""-DG - ante 2011 - 2020",,1.18,agg2021,127
J50H20000010001,C,,Manutenzione Straordinaria cicli fino al 2011,,3.7,agg2025,132
J50H20000020001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.5,agg2025,132
J50I21000000001,C,,Sicurezza ed Obblighi di Legge,,2.0,agg2025,136
J50J21000030001,C,,Manutenzione Straordinaria cicli fino al 2011,,3.0,agg2025,132
J51B21001950006,A/B,P253,Potenziamento collegamenti bacino di Augusta Bypass di Augusta,Valorizzazione reti regionali,175.71,agg2025,52
J51C05000030008,C,,AV/AC Milano-Venezia: nodo di Verona (progettazione preliminare),,-0.2,agg2021,128
J51C05000040001,C,,Galleria di base del Brennero - Spese funzionamento GEIE,,0.05,agg2024,113
J51C18000050001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,3.04,agg2025,141
J51C18000060001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.77,agg2025,141
J51C91000000008,A/B,A5000_5,Nodo AV di Bologna,,2018.55,cdp2017,73
J51D18000090001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.5,agg2025,141
J51D18000100001,C,,Implem. sistemi IT area movimento e comm - 2018,,4.15,agg2021,128
J51D18000110003,A/B,P220,"Potenziamento dei collegamenti tra il porto di Livorno, la rete ferroviaria e l'interporto Guasticce Porto di Livorno: collegamento diretto Porto-Guas","Porti e interporti, ultimo miglio",766.93,agg2025,69
J51D18000150001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.82,agg2025,141
J51D18000210009,C,,"Sistemi informativi integrati per la gestione della circolazione (OPTIMA,…)",,21.76,agg2024,113
J51E16000290001,C,,Business Continuity,,4.39,agg2021,128
J51E16000360001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.15,agg2025,141
J51E16000420001,C,,Implem. sistemi IT area movimento e comm - 2016,,1.53,agg2021,128
J51E17000090001,C,,Implementazioni IT Sistemi area Acquisti - 2017,,0.67,agg2024,113
J51E17000210001,C,,Implem Sistemi IT area AFC e PS - 2017,,0.23,agg2021,128
J51E17000220001,C,,Evoluzione Tecnologica e Funzionale PIC,,11.55,agg2024,113
J51E17000240001,C,,Implem. sistemi IT area movimento e comm - 2017,,4.0,agg2021,128
J51E17000250001,C,,Progr integrata e servizi accessori-2 p,,1.7,agg2021,128
J51E17000590001,C,,Sistema di SOT e diagnostica centralizzata,,5.6,agg2024,113
J51E20000090001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.4,agg2025,142
J51G24000010001,A/B,P270,Opere di collegamento al Ponte sullo stretto di Messina - sponda calabra e siciliana Opere di collegamento al Ponte sullo stretto di Messina - sponda ,Direttrici di interesse nazionale,1766.0,agg2025,73
J51H00000040001,C,,Itinerario alternativo merci Gioia Tauro-Taranto con velocizzazione tratta Sibari-Cosenza,,0.34,cdp2017,180
J51H00000050001,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-AN,,0.58,cdp2017,177
J51H00000050011,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-NA,,0.72,cdp2017,177
J51H00000050021,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-TO,,0.7,cdp2017,177
J51H00000050031,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-TS,,0.53,cdp2017,177
J51H00000050041,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-VE,,0.35,cdp2017,177
J51H00000050051,C,,Manutenzione Straordinaria cicli fino al 2011,,0.01,agg2025,132
J51H00000050111,C,,"Acq.mat.inv. O.L. prod.sett.""Mag""-DG",,0.15,cdp2017,177
J51H00000050171,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-FI,,0.52,cdp2017,177
J51H00000050181,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,132
J51H00000050191,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-GE,,0.5,cdp2017,177
J51H00000050231,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-BA,,0.38,cdp2017,177
J51H00000050241,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-BO,,0.7,cdp2017,177
J51H00000050341,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-RC,,1.59,cdp2017,177
J51H00000050351,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-PA,,1.08,cdp2017,177
J51H00000050401,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-RM,,0.88,cdp2017,177
J51H00000050411,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J51H00000060001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J51H00000070001,C,,Ampliamento Terminal Verona Quadrante Europa,,0.03,agg2021,129
J51H00000080001,C,,Nuovo terminal di Padova interporto,,3.04,cdp2017,180
J51H01000060001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J51H01000080001,C,,Nuovo terminal Padova interporto (acq.in,,0.09,agg2021,129
J51H03000100001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J51H03000110001,C,,Interventi per Sic. e O.L. nei TV (AN),,0.15,cdp2017,178
J51H03000110021,C,,Interventi per Sic. e O.L. nei TV (NV),,0.19,cdp2017,178
J51H03000110031,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,136
J51H03000110061,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,136
J51H03000110081,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J51H03000110131,C,,Sicurezza ed Obblighi di Legge,,-0.01,agg2025,136
J51H03000110141,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,136
J51H03000110171,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,136
J51H03000110221,C,,Interventi per Sic. e O.L. nei TV (RC) - ante 2011,,-0.02,agg2023,37
J51H03000110241,C,,Interventi per Sic. e O.L. nei TV (RM),,0.42,cdp2017,178
J51H03000110291,C,,Interventi per Sic. e O.L. nei TV (PA),,0.15,cdp2017,178
J51H03000110301,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,136
J51H03000120001,C,,Attr.tec.lin/imp.int.rete-eff.upg (AN),,4.3,cdp2017,178
J51H03000120011,C,,Attr.tec.lin/imp.int.rete-eff.upg (BA),,1.2,cdp2017,178
J51H03000120021,C,,Attrezzaggi tecnologici DTP Torino,,5.64,cdp2017,178
J51H03000120041,C,,Attr.tec.lin/imp.int.rete-eff.upg (VR),,2.39,cdp2017,178
J51H03000120051,C,,Attrezzaggi tecnologici DTP Trieste,,4.89,cdp2017,178
J51H03000120071,C,,Attr.tec.lin/imp.int.rete-eff.upg (RM),,5.82,cdp2017,178
J51H03000120081,C,,Attrezzaggi tecnologici,,0.36,cdp2017,179
J51H03000120141,C,,Attr.tec.lin/imp.int.rete-eff.upg (FI),,0.15,cdp2017,179
J51H03000120151,C,,Attrezzaggi tecnologici DTP Milano,,0.64,cdp2017,178
J51H03000140001,C,,Studio di fattibilità potenziamento BATTIPAGLIA - POTENZA,,0.43,agg2021,129
J51H03000150001,C,,Acq. rimp. mat.inv. per O.L. e Prod.(AN),,0.42,cdp2017,178
J51H03000150011,C,,Acq. rimp. mat.inv. per O.L. e Prod.(NA),,0.11,cdp2017,178
