cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J51H92000020361,C,,Aumento Produttività M.E.BA,,13.51,cdp2017,178
J51H92000020411,C,,"Aumento Produttività Settore ""Armam.""BO",,18.24,cdp2017,178
J51H92000020431,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H93000000021,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H93000000051,C,,Manutenzione straordinaria e Opere a difesa dell'infrastruttura - Potenziamento - Trieste,,0.01,agg2021,126
J51H93000000081,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H93000000101,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.01,agg2025,133
J51H93000000121,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H93000000131,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H93000000151,C,,Manut.Straord.OpereDif.Infr.POT.FI - ante 2011,,0.77,agg2021,126
J51H98000000001,C,,Potenziamento infrastrutturale e tecnologico Nodo di Verona,,0.21,cdp2017,180
J51H98000010001,C,,Realizz.Var.Gall. Monte Zucco,,-0.03,agg2021,128
J51I19000020001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,2.38,agg2025,142
J51I20000000001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,3.16,agg2025,142
J51I20000030001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.31,agg2025,142
J52F14000140001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,7.15,agg2025,142
J52F15000010001,C,,Implem. sistemi IT area movimento e comm - 2015,,9.54,agg2021,128
J52F15000020001,C,,Implementazioni IT Sistemi area Acquisti - 2015,,1.1,agg2024,113
J52F15000060001,C,,Implem Sistemi IT area AFC e PS - 2015,,4.45,agg2021,128
J52F15000070001,C,,Implementazioni Sistemi IT Area Produzione - 2015,,0.12,agg2024,113
J52F15000100001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,1.07,agg2025,142
J52F15000110001,C,,Sistemi di Rete - 2015,,0.51,agg2021,128
J52F16000020001,C,,Implem Sistemi IT area AFC e PS - 2016,,1.53,agg2021,128
J52F16000030001,C,,Implementazioni Sistemi IT Area Produzione - 2016,,10.59,agg2024,113
J52F16000040001,C,,Implementazioni IT Sistemi area Acquisti - 2016,,0.31,agg2024,113
J54B13001160001,C,,Piattaforma commerciale,,3.12,agg2021,128
J54B13001170001,C,,Sistema supporto alla pianificazione strategica,,1.32,agg2024,113
J54B13001260001,C,,Implementazioni IT Sistemi area Acquisti - 2013,,0.3,agg2024,113
