documento,pagina,riga,cup,npp,descrizione,costo_mln,data_messa_in_esercizio
cdp2017,179,A02,J59B09000060001,1592,Sistemi per i processi di supporto,0.56,31/12/2016
cdp2017,179,A02,J59B13000030001,1592,Sistemi per i processi di supporto,0.75,31/12/2016
cdp2017,179,A02,J61H99000010001,0076,RIPETIZIONE DISCONTINUA NODO DI NAPOLI,0.54,31/12/2016
cdp2017,179,A02,J67I08000000001,1546,Piano di sviluppo tecnologico della rete,6.37,31/12/2016
cdp2017,179,A02,J91H97000000001,0060,Ricerca ERTMS,0.65,31/12/2016
cdp2017,179,A03/04,,P014,Fermata passante nodo di Milano,3.13,31/12/2016
cdp2017,179,A03/04,J11H02000080001,1267,Adeguamento Linea Storica Torino-Lione,0.16,31/12/2016
cdp2017,179,A03/04,J11H03000050001,1178,Itinerario alternativo potenziamento Novara-Alessandria,0.11,31/12/2016
cdp2017,179,A03/04,J11J04000070031,1440,Upgrading rete viaggiatori - DTP Milano,1.77,31/12/2016
cdp2017,179,A03/04,J11J04000070061,1443,Interventi upgrading rete viaggiatori,1.0,31/12/2016
cdp2017,179,A03/04,J11J04000070081,1445,Upgrading rete viaggiatori DTP Roma,2.51,31/12/2016
cdp2017,179,A03/04,J11J04000070091,1446,Riqual.staz-Adeg.marc.staz.area romana,7.4,31/12/2016
cdp2017,179,A03/04,J11J04000070101,1447,Interventi upgrading rete viaggiatori,3.69,31/12/2016
cdp2017,179,A03/04,J11J04000070111,1448,Interventi upgrading rete viaggiatori,0.78,31/12/2016
