codice_linea,denominazione,gruppo_traffico,km,treni_giorno_programmati,fonte_dati,pagina_dati,fonte_denominazione,pagina_denominazione
C116,Lucca - Pistoia,Linee con > 40 e < 100 treni/giorno,43.75,51.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C117,Pisa - Lucca,Linee con > 40 e < 100 treni/giorno,30.647,51.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C118,Pistoia - Prato,Linee con > 40 e < 100 treni/giorno,17.187,96.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C119,Aulla - Lucca,Linee con <= 40 treni/giorno,89.923,23.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C120,Campiglia M.MA - Piombino M. ma,Linee con <= 40 treni/giorno,16.425,13.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C121,Empoli - Siena,Linee con > 40 e < 100 treni/giorno,63.01,56.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C122,Siena - Asciano,Linee con <= 40 treni/giorno,31.671,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C123,Asciano - Montallese,Linee con <= 40 treni/giorno,47.594,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
C124,Porto D'Ascoli - Ascoli Piceno,Linee con <= 40 treni/giorno,27.798,25.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
C125,Pescara - Sulmona,Linee con <= 40 treni/giorno,68.333,38.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
C126,Civitanova - Albacina,Linee con <= 40 treni/giorno,86.588,20.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
C127,Terontola - Foligno,Linee con <= 40 treni/giorno,82.2,34.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
C129,Viterbo - Cesano,Linee con <= 40 treni/giorno,60.111,40.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
